TransactionID,OutletID,CustomerID,Item,Timestamp,Price,Quantity,Total
1,7,1430,Espresso,2024-05-12 01:55:00,3.52,2,7.04
2,4,1435,Bagel,2024-06-01 16:08:00,3.94,2,7.88
3,8,1786,Smoothie,2024-01-18 17:25:00,4.19,1,4.19
4,5,1460,Latte,2024-06-21 10:35:00,4.61,3,13.83
5,7,1617,Iced Coffee,2024-01-05 01:04:00,3.42,1,3.42
6,10,1020,Cappuccino,2024-01-14 19:04:00,4.01,2,8.02
7,3,1063,Donut,2024-04-29 14:35:00,5.76,3,17.28
8,7,1164,Green Tea,2024-05-24 02:46:00,2.51,1,2.51
9,8,1026,Espresso,2024-02-09 06:36:00,3.52,2,7.04
10,5,1310,Green Tea,2024-05-28 18:52:00,2.51,2,5.02
11,4,1284,Americano,2024-05-13 17:02:00,2.93,1,2.93
12,8,1659,Smoothie,2024-05-06 17:56:00,4.19,2,8.38
13,8,1280,Mocha,2024-01-03 04:20:00,5.01,2,10.02
14,3,1163,Espresso,2024-05-28 06:25:00,3.52,3,10.56
15,6,1223,Salad,2024-01-13 10:05:00,5.0,2,10.0
16,5,1783,Chai Latte,2024-03-23 23:44:00,2.64,1,2.64
17,2,1145,Iced Coffee,2024-01-29 23:00:00,3.42,3,10.26
18,8,1029,Latte,2024-02-26 13:59:00,4.61,1,4.61
19,6,1044,Espresso,2024-01-16 02:36:00,3.52,2,7.04
20,2,1786,Chai Latte,2024-01-29 09:42:00,2.64,3,7.92
21,5,1470,Salad,2024-05-13 20:08:00,5.0,3,15.0
22,1,1033,Muffin,2024-01-23 10:52:00,4.94,3,14.82
23,10,1652,Green Tea,2024-04-26 12:51:00,2.51,3,7.53
24,6,1426,Muffin,2024-04-18 18:19:00,4.94,1,4.94
25,9,1220,Iced Coffee,2024-01-22 08:44:00,3.42,2,6.84
26,1,1533,Sandwich,2024-05-22 20:23:00,5.93,2,11.86
27,10,1691,Cappuccino,2024-06-26 04:44:00,4.01,3,12.03
28,3,1366,Smoothie,2024-02-15 22:06:00,4.19,2,8.38
29,7,1742,Espresso,2024-05-17 17:02:00,3.52,1,3.52
30,4,1549,Sandwich,2024-02-23 19:56:00,5.93,2,11.86
31,9,1581,Mocha,2024-03-08 11:53:00,5.01,1,5.01
32,3,1115,Green Tea,2024-04-30 20:33:00,2.51,1,2.51
33,5,1238,Salad,2024-03-18 11:51:00,5.0,2,10.0
34,3,1334,Green Tea,2024-06-10 01:40:00,2.51,1,2.51
35,7,1440,Espresso,2024-03-10 19:58:00,3.52,1,3.52
